title,author,publisher,publishedAt,image,isbn
거의 모든 IT의 역사(10주년 기념 스페셜 에디션),정지훈,메디치미디어,2020-11-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5531886%3Ftimestamp%3D20210706191737,9791157062157
비주얼 씽킹(누구나 할 수 있는 정진호의),정진호,한빛미디어,2015-06-05,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F945976%3Ftimestamp%3D20210706191418,9788968481987
오래된 비밀,이서윤,이다미디어,2013-02-28,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1426303%3Ftimestamp%3D20210706194336,9788994597133
IT 인프라시대의 대한민국 IT,김수보,재승출판,2015-03-05,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1412384%3Ftimestamp%3D20200722134158,9788994217635
Boot Spring Boot!: 한 권으로 정리하는 스프링 부트 A to Z,김지헌,지앤선,2018-07-31,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1647860%3Ftimestamp%3D20210417142622,9791187497158
노동 4.0(북저널리즘 19),이명호,스리체어스,2018-05-09,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1642326%3Ftimestamp%3D20210628134041,9791186984277
IT 인프라시대의 대한민국 IT,김수보,재승출판,2015-03-05,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1412384%3Ftimestamp%3D20200722134158,9788994217635
정석용의 TCP IP 소켓 프로그래밍(열혈강의),정석용,프리렉,2009-09-10,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1296467%3Ftimestamp%3D20190127165036,9788989345015
나만의 연설문을 써라,윤범기,필로소픽,2020-02-27,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5241304%3Ftimestamp%3D20210706193852,9791157831692
브랜드 갭(개정증보판),마티 뉴마이어,알키,2016-03-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F647633%3Ftimestamp%3D20210705180242,9788952782007
마츠모토 유키히로의 프로그래밍 언어 만들기,마츠모토 유키히로,에이콘출판,2019-06-04,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4955277%3Ftimestamp%3D20210705181244,9791161753010
Nginx HTTP 서버,끌레망 네델꾸,에이콘출판,2020-03-31,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5324246%3Ftimestamp%3D20210706194007,9791161754017
자바스크립트는 왜 그 모양일까?,더글러스 크락포드,인사이트,2020-05-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5370365%3Ftimestamp%3D20210706191556,9788966262595
